Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189385,23.757425742574256,0.018204285,-5.732800020507319,-5.732800020507319,1.0
10000,1.4204437,23.110576923076923,-0.27769816,-5.408997406180088,-5.408997406180088,1.0
15000,1.4239424,23.217391304347824,-0.69284904,-5.489740937228364,-5.489740937228364,1.0
20000,1.4288375,24.574358974358976,-1.2339551,-5.9552000638766165,-5.9552000638766165,1.0
25000,1.4306241,24.3502538071066,-1.3647202,-5.234010799584655,-5.234010799584655,1.0
30000,1.4336041,24.22222222222222,-1.6174194,-5.4394564565384025,-5.4394564565384025,1.0
35000,1.4348345,24.084577114427862,-1.8918839,-5.918921962976456,-5.918921962976456,1.0
40000,1.435981,24.101382488479263,-1.958083,-5.208454771926909,-5.208454771926909,1.0
45000,1.4383342,24.116666666666667,-2.1757653,-5.281200067400932,-5.281200067400932,1.0
50000,1.4398371,24.436548223350254,-2.2676663,-5.540728009896835,-5.540728009896835,1.0
55000,1.4434452,22.966346153846153,-2.3184333,-4.9897582937891665,-4.9897582937891665,1.0
60000,1.4454895,22.90909090909091,-2.553509,-5.124742957807722,-5.124742957807722,1.0
65000,1.4476457,22.190697674418605,-2.6359107,-5.038110926539399,-5.038110926539399,1.0
70000,1.4516953,23.204878048780486,-2.81651,-4.9410049371349,-4.9410049371349,1.0
75000,1.45175,23.50980392156863,-2.8003573,-4.523255472966269,-4.523255472966269,1.0
80000,1.4521103,23.0625,-2.8707247,-4.615913279033734,-4.615913279033734,1.0
85000,1.453679,23.302439024390242,-2.959696,-4.73795517275973,-4.73795517275973,1.0
90000,1.4531032,23.03864734299517,-2.9143317,-4.418706617103173,-4.418706617103173,1.0
95000,1.4527544,22.497652582159624,-2.9219477,-4.262974069431914,-4.262974069431914,1.0
100000,1.452731,22.15740740740741,-2.9127057,-4.253314967508669,-4.253314967508669,1.0
105000,1.4528275,21.48198198198198,-2.8491814,-4.367898418022706,-4.367898418022706,1.0
110000,1.4528974,22.795238095238094,-2.8485637,-4.07604003009342,-4.07604003009342,1.0
115000,1.4523671,23.08173076923077,-2.972852,-4.346785746514797,-4.346785746514797,1.0
120000,1.454377,22.55188679245283,-2.897809,-4.176853708782286,-4.176853708782286,1.0
125000,1.4559107,22.71563981042654,-2.9166677,-4.114490167507063,-4.114490167507063,1.0
130000,1.4567244,23.159420289855074,-2.9954858,-3.8883628070642406,-3.8883628070642406,1.0
135000,1.4570559,23.83084577114428,-3.024413,-4.33854921885056,-4.33854921885056,1.0
140000,1.4574919,22.950892857142858,-3.027432,-3.9900805729512987,-3.9900805729512987,1.0
145000,1.4605446,22.71502590673575,-2.9989784,-3.9537320456233633,-3.9537320456233633,1.0
150000,1.4611348,22.55607476635514,-2.9054234,-3.89051698078619,-3.89051698078619,1.0
155000,1.4619251,23.13170731707317,-2.8842006,-3.642343841131451,-3.642343841131451,1.0
160000,1.4619914,21.831050228310502,-2.775006,-3.704178045737689,-3.704178045737689,1.0
165000,1.462245,23.028846153846153,-2.6907268,-3.677186652444876,-3.677186652444876,1.0
170000,1.4624641,23.10144927536232,-2.6655495,-3.4119486791500147,-3.4119486791500147,1.0
175000,1.4600791,23.5,-2.614299,-3.4965560390960935,-3.4965560390960935,1.0
180000,1.4600159,23.482926829268294,-2.5929246,-3.316371188803417,-3.316371188803417,1.0
185000,1.4609774,23.606965174129353,-2.7037587,-3.2755864691264525,-3.2755864691264525,1.0
190000,1.4597129,23.096153846153847,-2.5248196,-3.1116632237457313,-3.1116632237457313,1.0
195000,1.4592375,21.586363636363636,-2.6181436,-2.958035893873735,-2.958035893873735,1.0
200000,1.4591541,23.24757281553398,-2.5406685,-3.0988066203675224,-3.0988066203675224,1.0
205000,1.4565083,22.72037914691943,-2.5128706,-2.882018010056979,-2.882018010056979,1.0
210000,1.455338,22.29767441860465,-2.5006604,-3.0613457266674486,-3.0613457266674486,1.0
215000,1.4555361,22.15668202764977,-2.35455,-2.6657850355047237,-2.6657850355047237,1.0
220000,1.4541379,22.980676328502415,-2.298554,-2.750600308611773,-2.750600308611773,1.0
225000,1.4532406,22.38785046728972,-2.2865741,-2.7462606616666383,-2.7462606616666383,1.0
230000,1.4521466,22.886255924170616,-2.1279042,-2.4455913793984183,-2.4455913793984183,1.0
235000,1.4515187,23.561576354679804,-2.209728,-2.649394982227004,-2.649394982227004,1.0
240000,1.4510899,23.54726368159204,-2.1656518,-2.465480547820406,-2.465480547820406,1.0
245000,1.4502308,22.913875598086126,-2.0902991,-2.2592450117950804,-2.2592450117950804,1.0
250000,1.4501035,23.048076923076923,-2.047359,-2.222289059884273,-2.222289059884273,1.0
255000,1.4499712,22.265765765765767,-2.023984,-1.952729661381522,-1.952729661381522,1.0
260000,1.4478881,22.645320197044335,-1.9791896,-1.7769177383721158,-1.7769177383721158,1.0
265000,1.4475509,22.171296296296298,-1.8014232,-1.4218069276324026,-1.4218069276324026,1.0
270000,1.4470752,21.68918918918919,-1.8401244,-1.7675051322350135,-1.7675051322350135,1.0
275000,1.443656,23.41176470588235,-1.7099618,-1.3359086810088738,-1.3359086810088738,1.0
280000,1.4432837,24.100502512562816,-1.4344049,-0.5923794057950302,-0.5923794057950302,1.0
285000,1.442878,23.266990291262136,-1.6155647,-1.0901690380087177,-1.0901690380087177,1.0
290000,1.4422396,23.534313725490197,-1.2446054,-0.6668326084812483,-0.6668326084812483,1.0
295000,1.4414172,22.729857819905213,-1.1015639,-0.6326629324546923,-0.6326629324546923,1.0
300000,1.4399167,24.020100502512562,-0.9296725,-0.15552889072715337,-0.15552889072715337,1.0
305000,1.4378184,22.833333333333332,-0.91140735,-0.3981917687824794,-0.3981917687824794,1.0
310000,1.436748,23.63054187192118,-0.8646589,-0.46809388183314227,-0.46809388183314227,1.0
315000,1.4350474,23.154589371980677,-0.6361133,-0.09115983020280294,-0.09115983020280294,1.0
320000,1.4343911,23.441747572815533,-0.7286719,0.0017623368976185624,0.0017623368976185624,1.0
325000,1.4340006,24.628865979381445,-0.7027033,-0.0024687589141371338,-0.0024687589141371338,1.0
330000,1.4322807,24.357142857142858,-0.45856932,0.6457684612033343,0.6457684612033343,1.0
335000,1.4319856,24.170854271356784,-0.42680234,0.4738165859001965,0.4738165859001965,1.0
340000,1.4316149,25.052083333333332,-0.107591294,1.4828629683082302,1.4828629683082302,1.0
345000,1.4293103,25.151832460732983,-0.2752546,0.850878493167967,0.850878493167967,1.0
350000,1.4286343,24.932642487046632,-0.29002318,1.0514070856447664,1.0514070856447664,1.0
355000,1.4281863,25.502673796791445,-0.13628414,1.3535745298450297,1.3535745298450297,1.0
360000,1.4274241,25.455026455026456,-0.07038889,1.5143497894523006,1.5143497894523006,1.0
365000,1.4263535,24.035,0.032960974,1.3830634248256684,1.3830634248256684,1.0
370000,1.4251058,26.054054054054053,0.04350527,1.892813665480227,1.892813665480227,1.0
375000,1.4245765,25.913978494623656,0.14299963,1.935082235483713,1.935082235483713,1.0
380000,1.4225047,25.657754010695186,0.109763235,1.8967505287040363,1.8967505287040363,1.0
385000,1.4218855,25.956989247311828,0.09780863,1.665485492476853,1.665485492476853,1.0
390000,1.4205463,25.56149732620321,0.21999335,2.122996024787426,2.122996024787426,1.0
395000,1.4195784,26.899441340782122,0.35817826,2.3004592717026866,2.3004592717026866,1.0
400000,1.4190092,26.74585635359116,0.4632054,2.5090864842438565,2.5090864842438565,1.0
405000,1.4173402,26.26775956284153,0.6673324,2.645893534187411,2.645893534187411,1.0
410000,1.4169781,27.53142857142857,0.71479136,3.2038488745689393,3.2038488745689393,1.0
415000,1.4154198,28.532544378698226,0.71455836,3.0744263406335954,3.0744263406335954,1.0
420000,1.415205,26.478021978021978,0.8315497,3.0737959167787006,3.0737959167787006,1.0
425000,1.4145021,27.078651685393258,0.6936225,2.753551428237658,2.753551428237658,1.0
430000,1.4137948,27.45762711864407,0.6692566,3.0477047933023527,3.0477047933023527,1.0
435000,1.4128913,26.88826815642458,0.75887066,2.9666571264160413,2.9666571264160413,1.0
440000,1.4119573,26.82777777777778,1.004382,3.432420200440619,3.432420200440619,1.0
445000,1.4115183,27.517241379310345,0.9407516,3.4915829086783288,3.4915829086783288,1.0
450000,1.411251,28.209302325581394,1.0076382,3.522032763375792,3.522032763375792,1.0
455000,1.4111086,27.83888888888889,1.1068134,3.958210515907441,3.958210515907441,1.0
460000,1.4092808,25.8268156424581,1.2384721,3.4782777035558547,3.4782777035558547,1.0
465000,1.4090798,28.13953488372093,1.1581745,3.9074661357458247,3.9074661357458247,1.0
470000,1.4084817,28.270588235294117,1.1279129,3.855349573317696,3.855349573317696,1.0
475000,1.408042,28.27485380116959,1.1997093,3.9226606198918748,3.9226606198918748,1.0
480000,1.4071903,28.502958579881657,1.3498896,4.132041173998047,4.132041173998047,1.0
485000,1.4068304,28.33529411764706,1.2992668,4.277299973018029,4.277299973018029,1.0
490000,1.4064292,27.448863636363637,1.4123162,4.303228867256035,4.303228867256035,1.0
495000,1.4057246,27.683908045977013,1.3102756,4.290922481438209,4.290922481438209,1.0
500000,1.4052956,27.411428571428573,1.3374114,4.217995331627982,4.217995331627982,1.0
505000,1.4043018,27.224719101123597,1.3530748,4.214316397570492,4.214316397570492,1.0
510000,1.4040469,29.570552147239265,1.3912129,4.387900169641694,4.387900169641694,1.0
515000,1.4029666,28.017543859649123,1.4299432,4.430245140957278,4.430245140957278,1.0
520000,1.40282,28.482558139534884,1.6002933,4.7144504968936625,4.7144504968936625,1.0
525000,1.4023677,27.566473988439306,1.4528598,4.311357544904405,4.311357544904405,1.0
530000,1.4021847,28.146198830409357,1.3791407,4.418784134220659,4.418784134220659,1.0
535000,1.4013951,27.833333333333332,1.392967,4.453898534350012,4.453898534350012,1.0
540000,1.40103,27.323863636363637,1.6361632,4.6741578692401,4.6741578692401,1.0
545000,1.400405,29.162650602409638,1.6420509,4.791229019682091,4.791229019682091,1.0
550000,1.4001039,28.251461988304094,1.6471257,4.889459188221491,4.889459188221491,1.0
555000,1.399786,27.91329479768786,1.4785167,4.4435396265087785,4.4435396265087785,1.0
560000,1.3994573,28.16374269005848,1.6682965,4.797166489369688,4.797166489369688,1.0
565000,1.3992738,28.79640718562874,1.6058149,5.096907776736078,5.096907776736078,1.0
570000,1.3989623,30.211180124223603,1.6326162,5.61702418679036,5.61702418679036,1.0
575000,1.3988525,28.423529411764704,1.5332218,4.8342543111127965,4.8342543111127965,1.0
580000,1.3984387,27.445714285714285,1.6504245,4.868526946987425,4.868526946987425,1.0
585000,1.3983325,27.405405405405407,1.4451787,4.261516865869027,4.261516865869027,1.0
590000,1.397875,27.95731707317073,1.611173,4.465959221644457,4.465959221644457,1.0
595000,1.3978487,28.982035928143713,1.5449244,4.69445612544785,4.69445612544785,1.0
600000,1.3976288,28.08139534883721,1.6326025,4.639633497873018,4.639633497873018,1.0
