Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4200026,23.738271604938273,-0.16000713,-5.749568080548013,-5.749568080548013,9.417728,1.0185751,0.0029611147,0.19870381,0.004935322,1.0
20000,1.4260899,23.440097799511,-0.96092737,-5.541510658042647,-5.541510658042647,7.8741403,0.88200027,0.0029211594,0.19737199,0.004868863,1.0
30000,1.4315231,23.715346534653467,-1.5748409,-5.607223875156723,-5.607223875156723,6.0192842,0.8258098,0.0028811495,0.1960383,0.0048023136,1.0
40000,1.4372147,25.112271540469973,-2.0537972,-5.612561192742838,-5.612561192742838,4.8052163,0.8032505,0.002841875,0.1947292,0.0047369855,1.0
50000,1.4435108,23.782178217821784,-2.4961562,-5.410428371907461,-5.410428371907461,4.10205,0.6637386,0.0027799902,0.19266634,0.00463405,1.0
60000,1.4467937,24.075187969924812,-2.7517262,-5.332788736001591,-5.332788736001591,3.748988,0.5853587,0.0027198948,0.19066319,0.0045340927,1.0
70000,1.4484122,23.766169154228855,-2.902789,-4.917699708059283,-4.917699708059283,3.1673796,0.5382243,0.0026802595,0.18934199,0.0044681663,1.0
80000,1.4508188,22.862559241706162,-3.0968735,-4.891778936960817,-4.891778936960817,2.3820462,0.429145,0.0026213797,0.18737935,0.0043702293,1.0
90000,1.4554002,22.684964200477328,-3.2046018,-4.592206085745192,-4.592206085745192,2.3555589,0.38689026,0.0025644547,0.18548188,0.004275544,1.0
100000,1.456681,22.531764705882352,-3.1838048,-4.604575585056754,-4.604575585056754,2.3245637,0.3171507,0.00252685,0.18422836,0.004212993,1.0
110000,1.4562017,22.212814645308924,-3.1855352,-4.476917133392148,-4.476917133392148,2.1635065,0.31449366,0.0024701902,0.18233967,0.00411875,1.0
120000,1.4552753,22.71875,-3.2448711,-4.354149306696173,-4.354149306696173,1.9827961,0.24703072,0.00241364,0.18045469,0.0040246868,1.0
130000,1.4546548,22.094688221709006,-3.199951,-4.312385563074028,-4.312385563074028,1.9972844,0.2853411,0.0023764898,0.17921634,0.0039628954,1.0
