Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
12000,1.4189383,515.125,-0.058443807,-55.69999613761902,-55.69999613761902,1.0
24000,1.4195817,535.7692307692307,-0.20736666,-68.96217822570067,-68.96217822570067,1.0
36000,1.4174705,452.65384615384613,-0.510139,-58.14752817153931,-58.14752817153931,1.0
48000,1.4088092,378.5945945945946,-0.63967335,-43.40277546644211,-43.40277546644211,1.0
60000,1.398993,271.4594594594595,-0.94515115,-26.504952827015437,-26.504952827015437,1.0
72000,1.3940356,439.54545454545456,-1.0392599,-41.563042459280595,-41.563042459280595,1.0
84000,1.3853977,295.75,-1.4816256,-35.82158883864229,-35.82158883864229,1.0
96000,1.3811061,420.43333333333334,-1.22862,-47.48333127697309,-47.48333127697309,1.0
108000,1.3786125,331.07894736842104,-1.1372695,-30.93157730604473,-30.93157730604473,1.0
120000,1.3787931,306.70454545454544,-1.05322,-31.33939288827506,-31.33939288827506,1.0
132000,1.3762256,384.37931034482756,-1.6451687,-39.40574532541736,-39.40574532541736,1.0
144000,1.3759097,331.72727272727275,-1.8090782,-35.53030075448932,-35.53030075448932,1.0
156000,1.3755106,435.15625,-2.0427837,-47.54114329814911,-47.54114329814911,1.0
168000,1.3708335,230.36363636363637,-2.386243,-21.369257079230415,-21.369257079230415,1.0
180000,1.3646209,374.5483870967742,-1.6030028,-36.80944226582845,-36.80944226582845,1.0
192000,1.3577803,291.0833333333333,-2.5211787,-22.899998070465195,-22.899998070465195,1.0
204000,1.3548164,333.1136363636364,-2.0322404,-38.209847168488935,-38.209847168488935,1.0
216000,1.3591655,288.75,-2.061984,-24.148779443124447,-24.148779443124447,1.0
228000,1.3598655,251.45238095238096,-2.3015866,-17.29959241646092,-17.29959241646092,1.0
240000,1.3571688,305.0416666666667,-2.022525,-31.44791453331709,-31.44791453331709,1.0
252000,1.3557901,247.5,-1.6840944,-20.04791520163417,-20.04791520163417,1.0
264000,1.3519908,185.578125,-1.7027632,-13.505383435579446,-13.505383435579446,1.0
276000,1.3500993,239.1578947368421,-1.7486638,-22.95745466100542,-22.95745466100542,1.0
288000,1.3516151,244.57142857142858,-1.8525555,-20.184721117218334,-20.184721117218334,1.0
300000,1.3496476,259.8070175438597,-1.7386632,-22.657016285678797,-22.657016285678797,1.0
312000,1.3428869,215.15686274509804,-1.4238601,-15.258998267650604,-15.258998267650604,1.0
324000,1.342306,256.17021276595744,-1.5266547,-18.272567965090275,-18.272567965090275,1.0
336000,1.3389933,325.875,-2.0347402,-31.534998984634875,-31.534998984634875,1.0
348000,1.3370413,169.9591836734694,-1.16168,-13.371331933736801,-13.371331933736801,1.0
360000,1.3352692,497.8709677419355,-2.17562,-57.60722163120906,-57.60722163120906,1.0
