Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4195186,24.456852791878173,-0.13047087,-5.7434004273730075,-5.7434004273730075,9.638381,0.94013196,0.0029594451,0.19864814,0.004932543,1.0
20000,1.4253308,24.13032581453634,-1.0136464,-5.36798993516807,-5.36798993516807,7.087248,0.89095896,0.0029189705,0.197299,0.0048652194,1.0
30000,1.4323437,23.893034825870647,-1.6686069,-5.357240630026481,-5.357240630026481,5.2108965,0.79194236,0.0028783998,0.19594666,0.0047977394,1.0
40000,1.4374433,23.75062344139651,-2.0145805,-5.203374189641281,-5.203374189641281,4.5543833,0.73837817,0.0028388596,0.19462869,0.00473197,1.0
50000,1.4412067,23.39512195121951,-2.3317332,-5.281576927115277,-5.281576927115277,4.0676966,0.70201814,0.00277967,0.1926557,0.004633518,1.0
60000,1.4443098,23.46813725490196,-2.520503,-4.965333890042654,-4.965333890042654,3.628938,0.6132434,0.0027209246,0.19069754,0.0045358064,1.0
70000,1.4456918,24.253807106598984,-2.6819437,-4.968024925985917,-4.968024925985917,3.3746002,0.57603186,0.0026811857,0.18937287,0.0044697053,1.0
80000,1.4478009,23.838942307692307,-2.8219006,-4.6031493630887255,-4.6031493630887255,2.7034135,0.46258894,0.0026208772,0.1873626,0.004369393,1.0
90000,1.4502228,23.817010309278352,-3.017095,-4.5030238653593395,-4.5030238653593395,2.5862265,0.40049458,0.0025611355,0.1853712,0.0042700223,1.0
100000,1.451312,24.8062015503876,-3.294174,-4.596885335045991,-4.596885335045991,2.3773172,0.31098837,0.0025198956,0.18399653,0.0042014257,1.0
110000,1.45139,23.945137157107233,-3.34591,-4.208120685377323,-4.208120685377323,2.2054079,0.26018015,0.0024791446,0.18263817,0.004133644,1.0
120000,1.4506384,23.3864168618267,-3.254252,-3.9314754248819974,-3.9314754248819974,1.9083755,0.2103243,0.0024210121,0.18070039,0.004036951,1.0
130000,1.4503393,24.77956989247312,-3.006378,-3.8121453109800507,-3.8121453109800507,2.0135753,0.20437388,0.0023596745,0.17865579,0.0039349264,1.0
140000,1.4513981,25.33157894736842,-2.9641175,-3.633787441645798,-3.633787441645798,2.013833,0.22141701,0.00231796,0.17726532,0.00386554,1.0
150000,1.4513355,26.018970189701896,-2.8435369,-3.364150503036138,-3.364150503036138,1.8405656,0.19078217,0.00227458,0.17581935,0.003793384,1.0
160000,1.4486221,25.642666666666667,-2.8174121,-3.327683007463496,-3.327683007463496,1.7452143,0.17948079,0.0022326347,0.17442118,0.003723616,1.0
170000,1.4477607,26.768156424581004,-2.6738749,-2.834680855439769,-2.834680855439769,1.9914379,0.16998258,0.0021892851,0.17297615,0.00365151,1.0
180000,1.4457461,26.344736842105263,-2.71984,-3.039720296126897,-3.039720296126897,1.8382711,0.15834846,0.0021231128,0.1707704,0.0035414435,1.0
190000,1.4427605,26.653179190751445,-2.5042849,-2.2737398295356295,-2.2737398295356295,1.9811023,0.16833642,0.0020566848,0.16855618,0.003430953,1.0
200000,1.4417381,26.705555555555556,-2.4566107,-2.127024765172716,-2.127024765172716,1.9564861,0.17224559,0.00201302,0.16710071,0.003358324,1.0
210000,1.4402245,27.512893982808023,-2.3066044,-1.993343904018402,-1.993343904018402,1.7839416,0.16664805,0.001967785,0.16559282,0.0032830827,1.0
220000,1.4384468,26.725761772853186,-2.0267649,-1.2848804025108465,-1.2848804025108465,1.9183348,0.14979444,0.0019221302,0.16407101,0.0032071422,1.0
230000,1.4360337,27.65028901734104,-1.9205768,-1.107811893539867,-1.107811893539867,1.8230312,0.16079643,0.0018779451,0.16259816,0.003133648,1.0
240000,1.4338593,27.324858757062145,-1.874752,-1.0609020713695698,-1.0609020713695698,1.8680804,0.16005294,0.0018316755,0.16105586,0.0030566854,1.0
250000,1.4313238,27.494285714285713,-1.6647501,-0.25635798283985683,-0.25635798283985683,1.75765,0.19027922,0.0017861304,0.1595377,0.00298093,1.0
260000,1.4299085,27.74425287356322,-1.7255195,-0.20242876207247845,-0.20242876207247845,1.8059385,0.23078254,0.001740795,0.15802652,0.0029055227,1.0
270000,1.4251589,28.3952802359882,-1.57973,0.1979707766981686,0.1979707766981686,1.7453651,0.24429117,0.00169468,0.15648934,0.0028288185,1.0
280000,1.4225215,27.455555555555556,-1.2178189,0.8540171980857849,0.8540171980857849,2.241251,0.2668867,0.0016250879,0.15416959,0.002713062,1.0
290000,1.418617,26.358543417366946,-1.0072241,1.1682511809754046,1.1682511809754046,2.0515442,0.29168946,0.0015584198,0.15194735,0.0026021723,1.0
300000,1.4162765,26.910614525139664,-0.9269588,1.4626173364550041,1.4626173364550041,2.1813345,0.32463688,0.0015138004,0.15046002,0.0025279534,1.0
310000,1.413854,26.935754189944134,-0.6737411,1.8805330099340258,1.8805330099340258,2.482491,0.3262177,0.0014691398,0.14897136,0.0024536694,1.0
320000,1.412048,27.362606232294617,-0.409034,2.536861171719035,2.536861171719035,2.4383743,0.33922318,0.0014232756,0.1474425,0.002377381,1.0
330000,1.4105393,26.738161559888578,-0.18300708,2.620875522163179,2.620875522163179,2.3318198,0.34504452,0.0013795603,0.14598532,0.0023046683,1.0
340000,1.409439,26.201634877384198,-0.012247013,2.9396487975477847,2.9396487975477847,2.3461728,0.30535126,0.0013344298,0.144481,0.0022296016,1.0
350000,1.4066081,25.636604774535808,-0.007490102,3.069881092202156,3.069881092202156,2.5749998,0.35105184,0.0012913948,0.14304647,0.0021580202,1.0
360000,1.4031436,26.722991689750693,0.24800009,3.802379454837905,3.802379454837905,2.6144943,0.3954569,0.0012263578,0.14087859,0.0020498412,1.0
370000,1.4002873,26.41160220994475,0.35018554,3.74228164855748,3.74228164855748,2.6573563,0.38155282,0.001160005,0.13866684,0.0019394751,1.0
380000,1.3973191,26.19891008174387,0.40530345,3.58306449489749,3.58306449489749,2.3512332,0.3693145,0.0011165201,0.13721731,0.0018671448,1.0
390000,1.3950824,25.873655913978496,0.45818582,3.6825695978377455,3.6825695978377455,2.394466,0.3294962,0.0010734552,0.13578181,0.001795513,1.0
400000,1.3927661,26.141304347826086,0.5458109,3.8085584282551124,3.8085584282551124,2.657727,0.33697155,0.001029315,0.1343105,0.0017220939,1.0
410000,1.3897709,26.68044077134986,0.6739866,4.157990297666923,4.157990297666923,2.6560664,0.31895366,0.00098576,0.13285868,0.0016496475,1.0
420000,1.386429,26.634349030470915,0.81044084,4.568786082753184,4.568786082753184,2.630955,0.3592359,0.00094125996,0.13137533,0.0015756291,1.0
430000,1.3843819,27.54016620498615,0.8973181,4.838383006283215,4.838383006283215,3.0708344,0.35763577,0.0008743376,0.12914458,0.0014643145,1.0
440000,1.3816383,26.52857142857143,0.9912491,4.708323387075062,4.708323387075062,3.1903336,0.3340375,0.0008073053,0.12691018,0.0013528172,1.0
450000,1.3793521,26.683333333333334,1.1327959,5.356682261601709,5.356682261601709,3.7497249,0.37744576,0.00076307525,0.12543583,0.0012792484,1.0
460000,1.37715,26.360881542699726,1.053692,4.973301118188869,4.973301118188869,3.5208788,0.37770167,0.00071857515,0.123952486,0.0012052297,1.0
470000,1.3750914,26.1875,1.143712,5.061003391347501,5.061003391347501,3.2435753,0.3706141,0.0006751901,0.12250635,0.0011330659,1.0
480000,1.372943,25.951351351351352,1.1871969,5.0984114580398625,5.0984114580398625,3.1264875,0.35737672,0.00063153525,0.121051155,0.001060453,1.0
490000,1.3711727,26.240437158469945,1.1797469,5.264768247870723,5.264768247870723,3.3929007,0.36853093,0.0005881601,0.119605325,0.0009883061,1.0
500000,1.3695012,26.81232492997199,1.4306186,5.761029074285024,5.761029074285024,3.4559205,0.3786127,0.0005443051,0.118143514,0.0009153604,1.0
510000,1.3675976,26.670360110803323,1.4593265,5.927509924160183,5.927509924160183,3.8880672,0.37966377,0.0004775627,0.115918756,0.0008043456,1.0
520000,1.3664155,27.0,1.4115113,5.8281808164941165,5.8281808164941165,4.0700545,0.38830262,0.0004105351,0.11368448,0.0006928563,1.0
530000,1.3653538,26.589041095890412,1.2967753,5.51354478623913,5.51354478623913,3.7591393,0.36834997,0.00036590514,0.11219685,0.0006186219,1.0
540000,1.3645107,26.750700280112046,1.6014452,6.23818339564734,6.23818339564734,4.061593,0.38607237,0.00032260004,0.11075333,0.00054659136,1.0
550000,1.3632681,27.661849710982658,1.5157337,5.990172918843127,5.990172918843127,4.2904806,0.35426044,0.00027666515,0.109222166,0.00047018623,1.0
560000,1.3621768,27.050420168067227,1.6065354,6.386732057363045,6.386732057363045,4.411896,0.39184883,0.00023118003,0.10770602,0.00039452934,1.0
570000,1.3614798,26.512396694214875,1.5506555,6.083982969214628,6.083982969214628,4.1831646,0.36975247,0.0001863101,0.106210314,0.00031989554,1.0
580000,1.360638,26.645429362880886,1.5793082,6.1454213928451855,6.1454213928451855,4.4490175,0.37803888,0.00014201502,0.104733855,0.0002462181,1.0
590000,1.3599744,27.123966942148762,1.6312059,6.485599297301965,6.485599297301965,4.5048385,0.36501276,7.519262e-05,0.102506414,0.00013507022,1.0
600000,1.359566,26.543661971830986,1.5285072,5.936855312079599,5.936855312079599,4.331398,0.34462178,8.780043e-06,0.10029267,2.460397e-05,1.0
