Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4197713,23.824257425742573,-0.26229575,-5.700037564444483,-5.700037564444483,9.529283,0.9815067,0.002997608,0.19992025,0.0049960213,1.0
20000,1.4264586,24.2984693877551,-1.0714569,-5.608185909575012,-5.608185909575012,7.1115513,0.8809872,0.0029952014,0.19984007,0.004992019,1.0
30000,1.4325405,24.0125313283208,-1.6529901,-5.213874695748091,-5.213874695748091,4.965366,0.7836278,0.0029927737,0.1997591,0.0049879807,1.0
40000,1.4369602,23.663366336633665,-2.110344,-5.379015768396443,-5.379015768396443,4.3798575,0.72834784,0.0029903867,0.19967952,0.0049840086,1.0
50000,1.4426228,24.443877551020407,-2.429495,-5.143728896861768,-5.143728896861768,3.8552704,0.65037596,0.0029867664,0.19955888,0.004977988,1.0
60000,1.4457176,24.734536082474225,-2.6172287,-5.173421941159927,-5.173421941159927,3.4938753,0.554591,0.0029830683,0.19943562,0.004971835,1.0
70000,1.4471552,24.487244897959183,-2.6663067,-5.019054187314808,-5.019054187314808,3.193317,0.5352716,0.0029805743,0.19935243,0.0049676886,1.0
80000,1.4482795,24.032663316582916,-2.8546326,-4.614749298508006,-4.614749298508006,2.901826,0.53728986,0.0029781843,0.19927278,0.004963713,1.0
90000,1.4504322,23.62962962962963,-2.9215353,-4.56951023616227,-4.56951023616227,2.7380462,0.39773983,0.0029745835,0.19915277,0.0049577234,1.0
100000,1.4539632,24.22670025188917,-3.0134258,-4.288849885140232,-4.288849885140232,2.6082084,0.37407362,0.0029709942,0.19903317,0.0049517546,1.0
110000,1.4540535,25.036745406824146,-3.0205526,-3.903484120418888,-3.903484120418888,2.3437588,0.2618973,0.002968521,0.19895074,0.004947642,1.0
120000,1.4561166,24.77002583979328,-2.923182,-3.8586572722061394,-3.8586572722061394,2.1005433,0.26745832,0.0029660095,0.19886698,0.0049434616,1.0
130000,1.4577132,26.482191780821918,-2.8817437,-3.5667674025444134,-3.5667674025444134,1.9960773,0.23894723,0.0029635276,0.19878429,0.0049393335,1.0
140000,1.4565542,25.026315789473685,-2.8332121,-3.28066685741315,-3.28066685741315,2.1372347,0.21795571,0.0029596144,0.19865385,0.0049328264,1.0
150000,1.4577239,26.138964577656676,-2.7099183,-2.606753075672036,-2.606753075672036,1.971716,0.1489082,0.0029557783,0.19852594,0.0049264436,1.0
160000,1.455541,25.146596858638745,-2.540934,-2.429410358452048,-2.429410358452048,1.6821069,0.19912748,0.0029532309,0.19844103,0.0049222084,1.0
170000,1.4521962,26.208108108108107,-2.429948,-1.9373631682499315,-1.9373631682499315,1.85749,0.14092071,0.0029506618,0.19835536,0.0049179345,1.0
180000,1.4490691,26.632311977715876,-2.1145844,-1.1348659909663108,-1.1348659909663108,2.3142052,0.20096253,0.002948024,0.19826749,0.004913548,1.0
190000,1.4458586,28.037900874635568,-1.8596127,-0.7342896420768527,-0.7342896420768527,1.9230751,0.19303416,0.0029453703,0.19817905,0.004909132,1.0
200000,1.4424975,27.71551724137931,-1.5674207,-0.015655550891640543,-0.015655550891640543,2.0445464,0.2126467,0.0029426,0.1980867,0.004904525,1.0
210000,1.4386744,27.986225895316803,-1.2472739,0.516524594883586,0.516524594883586,2.1876178,0.22202894,0.0029384214,0.1979474,0.004897574,1.0
220000,1.434363,28.96904024767802,-1.1184418,1.116066472654912,1.116066472654912,2.321914,0.28181222,0.0029341525,0.19780508,0.004890474,1.0
230000,1.4300991,27.663716814159294,-0.92982095,1.3958361533104862,1.3958361533104862,2.2216213,0.292757,0.0029313997,0.19771333,0.0048858947,1.0
240000,1.4244499,28.75748502994012,-0.552328,2.2363525091537406,2.2363525091537406,2.3554318,0.29492489,0.0029285552,0.19761851,0.004881163,1.0
250000,1.4208192,28.975975975975977,-0.26082397,2.8893094315185204,2.8893094315185204,2.791699,0.32710597,0.0029256786,0.19752261,0.0048763775,1.0
260000,1.416726,28.613095238095237,0.021992086,3.2570365707902513,3.2570365707902513,2.4380686,0.31354988,0.002922823,0.1974274,0.0048716273,1.0
270000,1.4120704,27.78034682080925,0.17502944,3.2854081276247555,3.2854081276247555,2.8423474,0.31202364,0.002919973,0.19733243,0.0048668887,1.0
280000,1.4090335,29.41717791411043,0.42206293,3.7636863327607877,3.7636863327607877,2.5044246,0.25340286,0.0029171645,0.19723886,0.004862218,1.0
290000,1.4071287,28.52802359882006,0.6925827,4.3022696581562005,4.3022696581562005,2.733661,0.27621967,0.0029142674,0.19714226,0.004857398,1.0
300000,1.4043579,28.442477876106196,0.84403414,4.459173973506882,4.459173973506882,3.007374,0.27787533,0.0029114569,0.1970486,0.0048527243,1.0
310000,1.4012735,28.422287390029325,0.9443211,4.77577158869886,4.77577158869886,2.8962889,0.2845822,0.0029086107,0.19695373,0.0048479894,1.0
320000,1.399064,28.56547619047619,1.0717177,5.018319464136655,5.018319464136655,2.9999697,0.2742397,0.0029058086,0.19686028,0.004843327,1.0
330000,1.3961383,28.060693641618496,1.3345312,4.985137211067089,4.985137211067089,2.5369577,0.23288248,0.0029030363,0.19676785,0.0048387176,1.0
340000,1.3939561,28.292035398230087,1.3621726,5.2015439266229375,5.2015439266229375,2.7605011,0.2514516,0.0029001846,0.19667286,0.0048339753,1.0
350000,1.3915464,28.791044776119403,1.7176325,5.670198627348457,5.670198627348457,2.7679334,0.22417909,0.0028973473,0.19657822,0.004829256,1.0
360000,1.3899232,29.147590361445783,1.7663556,6.017327095909291,6.017327095909291,3.3226283,0.21052912,0.0028944588,0.1964819,0.004824449,1.0
370000,1.3868842,28.961077844311376,1.7344857,6.027850328452551,6.027850328452551,3.3355958,0.2309362,0.002891598,0.19638653,0.0048196902,1.0
380000,1.3844267,28.751497005988025,1.9555316,6.55450947676132,6.55450947676132,3.036017,0.26154402,0.0028886923,0.1962897,0.004814858,1.0
390000,1.3810304,29.458715596330276,2.104741,7.142935562424544,7.142935562424544,3.4079144,0.24394694,0.0028858543,0.19619513,0.004810137,1.0
400000,1.3750162,29.48170731707317,2.294835,7.014327890625814,7.014327890625814,3.34718,0.3137791,0.0028829186,0.19609731,0.0048052534,1.0
410000,1.3733084,29.747826086956522,2.4413323,7.344392182265582,7.344392182265582,3.4664638,0.24048948,0.0028785057,0.19595021,0.0047979145,1.0
420000,1.3706181,30.569023569023567,2.6603692,8.24195860967606,8.24195860967606,None,None,None,None,None,1.0
430000,1.3656673,30.817891373801917,2.7005699,8.135705495336254,8.135705495336254,3.7961037,0.28485334,0.0028739898,0.1957997,0.0047904043,1.0
440000,1.3621558,30.430379746835442,2.842034,8.19293849156106,8.19293849156106,3.7368348,0.27244118,0.0028709124,0.19569714,0.004785285,1.0
450000,1.3580954,30.071875,2.814252,7.822637697739631,7.822637697739631,3.7694135,0.22903326,0.0028679243,0.19559751,0.0047803135,1.0
460000,1.3553094,30.371069182389938,3.0473492,8.707968613944457,8.707968613944457,3.6749544,0.220513,0.0028649336,0.19549783,0.0047753397,1.0
