Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
,,,,,,
3000,1.4189385,22.65354331,-0.019845633,-5.164475035,-5.164475035,1
,,,,,,
6000,1.4189385,25,-0.018458258,-5.830674777,-5.830674777,1
,,,,,,
9000,1.4189385,22.728,-0.021134833,-5.356892267,-5.356892267,1
,,,,,,
12000,1.4189386,23.82644628,-0.028653827,-5.613264142,-5.613264142,1
,,,,,,
15000,1.4189384,22.85714286,-0.028026477,-5.959240456,-5.959240456,1
,,,,,,
18000,1.4189384,22.53543307,-0.025789972,-5.619089467,-5.619089467,1
,,,,,,
21000,1.4189371,22.5546875,-0.18320474,-5.714199806,-5.714199806,1
,,,,,,
24000,1.4188415,25.13157895,-1.0236039,-5.716656147,-5.716656147,1
,,,,,,
27000,1.4188415,23.50406504,-1.0218223,-5.634138491,-5.634138491,1
,,,,,,
30000,1.4188414,25.21052632,-1.0368396,-6.020892323,-6.020892323,1
,,,,,,
33000,1.4188414,24.32773109,-1.0032902,-5.343412418,-5.343412418,1
,,,,,,
36000,1.4188414,24.61538462,-1.0049508,-5.485103445,-5.485103445,1
,,,,,,
39000,1.4188415,23.12096774,-1.0115187,-5.223696009,-5.223696009,1
,,,,,,
42000,1.4187872,23.37398374,-1.1696153,-5.539039878,-5.539039878,1
,,,,,,
45000,1.418624,22.6953125,-1.4539658,-4.883659321,-4.883659321,1
,,,,,,
48000,1.418624,24.55555556,-1.4547646,-5.432437742,-5.432437742,1
,,,,,,
51000,1.418624,24.63247863,-1.4440811,-5.162424436,-5.162424436,1
,,,,,,
54000,1.4186242,23.49180328,-1.4718187,-5.263578045,-5.263578045,1
,,,,,,
57000,1.4186242,23.51639344,-1.4559635,-5.320674733,-5.320674733,1
,,,,,,
60000,1.4186242,22.70866142,-1.5014927,-5.259682586,-5.259682586,1
,,,,,,
63000,1.4181976,22.77777778,-1.6407117,-5.314846327,-5.314846327,1
,,,,,,
66000,1.4176289,24,-1.7868892,-5.178059073,-5.178059073,1
,,,,,,
69000,1.417629,22.52755906,-1.7856987,-5.023753888,-5.023753888,1
,,,,,,
72000,1.4176289,23.42276423,-1.7809253,-4.859397817,-4.859397817,1
,,,,,,
75000,1.4176289,23.59836066,-1.7799569,-5.017075376,-5.017075376,1
,,,,,,
78000,1.4176289,23.62295082,-1.8043826,-5.226013989,-5.226013989,1
,,,,,,
81000,1.4176289,24.00833333,-1.7841823,-5.19809737,-5.19809737,1
,,,,,,
84000,1.4168824,23.31451613,-2.0029385,-4.942718514,-4.942718514,1
,,,,,,
87000,1.4164069,23.16129032,-2.1566877,-5.144969578,-5.144969578,1
,,,,,,
90000,1.4164066,23.40650407,-2.0812633,-4.86458444,-4.86458444,1
,,,,,,
93000,1.4164068,23.20325203,-2.0641975,-4.836348953,-4.836348953,1
,,,,,,
96000,1.4164068,22.70866142,-2.1560302,-5.271173464,-5.271173464,1
,,,,,,
99000,1.4164066,23.95833333,-2.0717533,-4.881045135,-4.881045135,1
,,,,,,
102000,1.4164066,22.88095238,-2.132179,-5.089799172,-5.089799172,1
,,,,,,
105000,1.415898,25.21929825,-2.2449179,-4.4475246,-4.4475246,1
,,,,,,
108000,1.4157522,23.21138211,-2.2697785,-4.1803751,-4.1803751,1
,,,,,,
111000,1.4157523,23.725,-2.3960264,-5.059896291,-5.059896291,1
,,,,,,
114000,1.4157523,24.78448276,-2.4213421,-5.422174096,-5.422174096,1
,,,,,,
117000,1.4157524,23.32786885,-2.3452988,-4.509737228,-4.509737228,1
,,,,,,
120000,1.4157522,24.15833333,-2.329859,-4.714486811,-4.714486811,1
,,,,,,
123000,1.4157054,23.99259259,-2.3778746,-5.153373922,-5.153373922,1
,,,,,,
126000,1.4149758,23.30555556,-2.5539942,-4.741846022,-4.741846022,1
,,,,,,
129000,1.4149758,23.02419355,-2.510151,-4.497083993,-4.497083993,1
,,,,,,
132000,1.4149758,23.94166667,-2.5284033,-4.742955357,-4.742955357,1
,,,,,,
135000,1.4149758,23.15322581,-2.5157802,-4.636029023,-4.636029023,1
,,,,,,
138000,1.4149756,24.3,-2.5537364,-4.969465865,-4.969465865,1
,,,,,,
141000,1.4149756,23.10569106,-2.5428421,-4.549751616,-4.549751616,1
,,,,,,
144000,1.4149073,24.53389831,-2.5755565,-4.717338249,-4.717338249,1
,,,,,,
147000,1.4143412,23.675,-2.7087865,-4.582839096,-4.582839096,1
,,,,,,
150000,1.4143411,25.5840708,-2.6680977,-4.771287417,-4.771287417,1
,,,,,,
153000,1.4143412,22.93548387,-2.683003,-4.617925505,-4.617925505,1
,,,,,,
156000,1.4143411,23.31707317,-2.6040492,-4.129937891,-4.129937891,1
,,,,,,
159000,1.4143411,22.94444444,-2.6845388,-4.113339963,-4.113339963,1
,,,,,,
162000,1.4143411,24.27118644,-2.6717966,-4.37641409,-4.37641409,1
,,,,,,
165000,1.4140719,25.43859649,-2.7374701,-4.581492708,-4.581492708,1
,,,,,,
168000,1.4133557,23.46721311,-2.8019392,-4.207272253,-4.207272253,1
,,,,,,
171000,1.4133556,24.66101695,-2.8546705,-4.431627614,-4.431627614,1
,,,,,,
174000,1.4133558,23.66942149,-2.8591833,-4.326497623,-4.326497623,1
,,,,,,
177000,1.4133558,23.73553719,-2.863813,-4.207394512,-4.207394512,1
,,,,,,
180000,1.4133558,23.51219512,-2.8314087,-4.218360372,-4.218360372,1
,,,,,,
183000,1.4133557,23.63114754,-2.8521,-4.508462181,-4.508462181,1
,,,,,,
186000,1.412833,23.45081967,-2.9628835,-4.618314222,-4.618314222,1
,,,,,,
189000,1.4122059,22.976,-2.9583888,-3.872517355,-3.872517355,1
,,,,,,
192000,1.4122057,23.7295082,-3.031937,-4.194295969,-4.194295969,1
,,,,,,
195000,1.4122057,23.2195122,-3.0423367,-4.220769763,-4.220769763,1
,,,,,,
198000,1.4122059,23.3902439,-2.983271,-4.3684531,-4.3684531,1
,,,,,,
201000,1.4122059,23.60655738,-3.0190344,-4.201413987,-4.201413987,1
,,,,,,
204000,1.4122058,23.68852459,-2.9484365,-3.852775823,-3.852775823,1
,,,,,,
207000,1.4119103,25.06086957,-3.1192634,-4.274626327,-4.274626327,1
,,,,,,
210000,1.4117347,24.64102564,-3.076785,-3.619852546,-3.619852546,1
,,,,,,
213000,1.4117347,23.48360656,-3.0696192,-3.702383776,-3.702383776,1
,,,,,,
216000,1.4117347,24.025,-3.0931852,-3.976053296,-3.976053296,1
,,,,,,
219000,1.4117346,23.78512397,-3.153739,-4.007267569,-4.007267569,1
,,,,,,
222000,1.4117347,24.71794872,-3.0541217,-3.74488844,-3.74488844,1
,,,,,,
225000,1.4117346,24.21008403,-3.1359227,-4.148156865,-4.148156865,1
,,,,,,
228000,1.411301,23.64754098,-3.1956596,-3.344874228,-3.344874228,1
,,,,,,
231000,1.4111825,24.70940171,-3.2078373,-3.787713932,-3.787713932,1
,,,,,,
234000,1.4111826,23.39344262,-3.267253,-3.707996789,-3.707996789,1
,,,,,,
237000,1.4111825,23.91735537,-3.2164216,-3.81312259,-3.81312259,1
,,,,,,
240000,1.4111824,24.07563025,-3.1820145,-3.464193607,-3.464193607,1
,,,,,,
243000,1.4111824,24.77777778,-3.2479808,-3.720914064,-3.720914064,1
,,,,,,
246000,1.4111261,24.37121212,-3.222371,-3.375233674,-3.375233674,1
,,,,,,
249000,1.4104214,24.41346154,-3.249806,-3.601192462,-3.601192462,1
,,,,,,
252000,1.4104214,23.99166667,-3.2775893,-3.786810673,-3.786810673,1
,,,,,,
255000,1.4104215,25.14782609,-3.141797,-3.004023736,-3.004023736,1
,,,,,,
258000,1.4104214,23.19354839,-3.334129,-3.965414858,-3.965414858,1
,,,,,,
261000,1.4104215,24.64102564,-3.182261,-3.452416903,-3.452416903,1
,,,,,,
264000,1.4104215,24.29661017,-3.2986555,-3.602586584,-3.602586584,1
,,,,,,
267000,1.41036,23.71311475,-3.2629855,-3.605780638,-3.605780638,1
,,,,,,
270000,1.40994,25.05217391,-3.249035,-3.449719377,-3.449719377,1
,,,,,,
273000,1.4099399,24.21008403,-3.1435688,-2.918396284,-2.918396284,1
,,,,,,
276000,1.40994,25.74107143,-3.2998035,-3.630733468,-3.630733468,1
,,,,,,
279000,1.4099401,24.95689655,-3.307602,-3.492949433,-3.492949433,1
,,,,,,
282000,1.40994,24.80172414,-3.1860838,-3.101743451,-3.101743451,1
,,,,,,
285000,1.4099401,24.47457627,-3.1972964,-3.310550426,-3.310550426,1
,,,,,,
288000,1.409697,24.52136752,-3.177219,-3.25464949,-3.25464949,1
,,,,,,
