Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189386,24.5,-0.23369296,-5.897735173885639,-5.897735173885639,1.0
6000,1.4189385,22.841269841269842,-0.22596556,-5.933055504446938,-5.933055504446938,1.0
9000,1.4196318,24.53846153846154,-0.5568476,-6.398654740080874,-6.398654740080874,1.0
12000,1.4221231,24.125,-1.1876106,-5.359347639481227,-5.359347639481227,1.0
15000,1.4221231,25.07894736842105,-1.1918103,-5.548518262738767,-5.548518262738767,1.0
18000,1.4244188,22.390625,-1.5399072,-5.51602330384776,-5.51602330384776,1.0
21000,1.4267558,24.084033613445378,-1.7528863,-5.872679709887304,-5.872679709887304,1.0
24000,1.4269017,23.0354609929078,-1.735818,-5.534468047618866,-5.534468047618866,1.0
27000,1.4333056,25.03,-2.1000001,-5.986452607008127,-5.986452607008127,1.0
30000,1.4333055,24.041322314049587,-2.0434697,-4.980688561585324,-4.980688561585324,1.0
33000,1.4336649,23.048780487804876,-2.1566575,-5.409954206245701,-5.409954206245701,1.0
36000,1.4352105,23.834710743801654,-2.3204112,-5.133265309589953,-5.133265309589953,1.0
39000,1.4352102,24.474137931034484,-2.356196,-5.494665941621503,-5.494665941621503,1.0
42000,1.4364674,23.225806451612904,-2.4665408,-5.447258082389832,-5.447258082389832,1.0
45000,1.4374456,23.349593495934958,-2.4892042,-5.544068268644131,-5.544068268644131,1.0
48000,1.4375671,23.185185185185187,-2.4513419,-5.213442699082436,-5.213442699082436,1.0
51000,1.4396964,25.07547169811321,-2.7316315,-5.771576518128658,-5.771576518128658,1.0
54000,1.4396964,21.76923076923077,-2.6655297,-5.3936005384867425,-5.3936005384867425,1.0
57000,1.4410902,22.294573643410853,-2.7439504,-5.203243157198263,-5.203243157198263,1.0
60000,1.4430431,23.30081300813008,-2.7109098,-5.039309519093211,-5.039309519093211,1.0
63000,1.4430431,21.92248062015504,-2.7380702,-5.030637539350069,-5.030637539350069,1.0
66000,1.445237,23.422764227642276,-2.8113477,-4.923537473368451,-4.923537473368451,1.0
69000,1.445635,22.857142857142858,-2.8568454,-5.376051066413758,-5.376051066413758,1.0
72000,1.4456403,22.738095238095237,-2.8334613,-5.11963620687288,-5.11963620687288,1.0
75000,1.4454249,22.484375,-2.8861814,-5.030115410219878,-5.030115410219878,1.0
78000,1.445425,23.414634146341463,-2.9192107,-5.105303142613511,-5.105303142613511,1.0
81000,1.445562,22.3515625,-2.9036121,-4.507909667678177,-4.507909667678177,1.0
84000,1.4456499,22.176923076923078,-2.857,-4.434008689568593,-4.434008689568593,1.0
87000,1.4456433,22.328125,-2.9448147,-4.934620943386108,-4.934620943386108,1.0
90000,1.4456912,21.05839416058394,-2.9545584,-4.38722158043924,-4.38722158043924,1.0
93000,1.4456913,23.24590163934426,-3.0109677,-4.8462629075942,-4.8462629075942,1.0
96000,1.4475384,22.333333333333332,-3.007674,-4.440904068854428,-4.440904068854428,1.0
99000,1.4480951,22.333333333333332,-3.0137072,-4.430218124296516,-4.430218124296516,1.0
102000,1.4479822,22.265625,-3.0357254,-4.532872361268184,-4.532872361268184,1.0
105000,1.4478283,22.390625,-3.023252,-4.141350365709513,-4.141350365709513,1.0
108000,1.4478283,21.984848484848484,-3.0424721,-4.256536296760763,-4.256536296760763,1.0
111000,1.4464958,22.856,-3.0965538,-4.571449258024731,-4.571449258024731,1.0
114000,1.446226,22.968,-3.074677,-4.391190598487854,-4.391190598487854,1.0
117000,1.4469159,22.551181102362204,-3.0193453,-4.225379499863452,-4.225379499863452,1.0
120000,1.4495018,23.024,-2.9561384,-3.9543273820877074,-3.9543273820877074,1.0
123000,1.4495018,22.849206349206348,-3.0317216,-4.369485929844871,-4.369485929844871,1.0
126000,1.4501252,22.496062992125985,-2.955179,-4.046442756971975,-4.046442756971975,1.0
129000,1.4503528,22.865079365079364,-3.063805,-4.074435448362713,-4.074435448362713,1.0
132000,1.4501963,22.310077519379846,-3.0235858,-3.8433531402617462,-3.8433531402617462,1.0
135000,1.4498434,23.991803278688526,-3.0134501,-4.161098759682452,-4.161098759682452,1.0
138000,1.4498433,23.322314049586776,-3.0025797,-4.192234798403811,-4.192234798403811,1.0
141000,1.449158,23.565573770491802,-3.0180416,-4.056936479982783,-4.056936479982783,1.0
144000,1.448641,23.177419354838708,-3.0321896,-3.7917390614748,-3.7917390614748,1.0
147000,1.4486755,23.604477611940297,-3.0833957,-3.877217717228397,-3.877217717228397,1.0
150000,1.4503888,21.949152542372882,-2.731789,-3.3564361529424787,-3.3564361529424787,1.0
153000,1.4503889,22.5,-2.8393555,-3.645321107469499,-3.645321107469499,1.0
156000,1.4492271,23.260162601626018,-2.880045,-3.611386673585061,-3.611386673585061,1.0
159000,1.4478457,23.536585365853657,-2.8693905,-3.650988099051685,-3.650988099051685,1.0
162000,1.4478984,22.482758620689655,-2.7971103,-3.4784144830136072,-3.4784144830136072,1.0
165000,1.4494962,21.92792792792793,-2.8034706,-3.397778406397987,-3.397778406397987,1.0
168000,1.4494962,22.936,-2.80165,-3.7727776064872742,-3.7727776064872742,1.0
171000,1.4493362,22.590551181102363,-2.83047,-3.4231126782462353,-3.4231126782462353,1.0
174000,1.4492791,22.234375,-2.788051,-3.252398730248444,-3.252398730248444,1.0
177000,1.4492563,21.630872483221477,-2.821549,-3.4968533695654105,-3.4968533695654105,1.0
180000,1.4492197,22.94495412844037,-2.7215354,-3.2689385102130473,-3.2689385102130473,1.0
183000,1.4492196,21.757575757575758,-2.6290088,-3.025449607408408,-3.025449607408408,1.0
186000,1.4485403,23.308943089430894,-2.6766653,-2.9326609370669696,-2.9326609370669696,1.0
189000,1.4475701,23.688524590163933,-2.6469722,-2.770077181644127,-2.770077181644127,1.0
192000,1.4473717,21.647058823529413,-2.6482694,-2.586222167446542,-2.586222167446542,1.0
195000,1.4432429,23.368932038834952,-2.5228674,-2.4932083012611885,-2.4932083012611885,1.0
198000,1.4432428,21.885496183206108,-2.512971,-2.245999176766126,-2.245999176766126,1.0
201000,1.4430146,24.466101694915253,-2.5420237,-2.4656005698745536,-2.4656005698745536,1.0
204000,1.4424679,22.456692913385826,-2.4566393,-2.3211918072775006,-2.3211918072775006,1.0
207000,1.4424678,21.702290076335878,-2.4359949,-2.1583778221498835,-2.1583778221498835,1.0
210000,1.4417007,21.801526717557252,-2.4550245,-2.0871654444068444,-2.0871654444068444,1.0
213000,1.4415702,22.614173228346456,-2.4355197,-2.028221926351232,-2.028221926351232,1.0
216000,1.4410058,24.033333333333335,-2.3581686,-1.811880773305893,-1.811880773305893,1.0
219000,1.439561,22.3359375,-2.2625184,-1.3713561980299247,-1.3713561980299247,1.0
222000,1.4395611,22.746031746031747,-2.4507787,-1.6980190622428106,-1.6980190622428106,1.0
225000,1.4377371,22.640625,-2.1426678,-1.2859416066203266,-1.2859416066203266,1.0
228000,1.4372042,22.785714285714285,-2.11353,-1.0496026745864324,-1.0496026745864324,1.0
231000,1.4364882,22.076923076923077,-2.1244051,-1.3472187450298896,-1.3472187450298896,1.0
234000,1.4346896,22.69047619047619,-1.9772393,-1.0869481305437765,-1.0869481305437765,1.0
237000,1.4346899,24.724137931034484,-2.0652578,-0.8061113229085659,-0.8061113229085659,1.0
240000,1.433476,24.870689655172413,-1.841439,-0.4817277778839243,-0.4817277778839243,1.0
243000,1.4327222,24.338983050847457,-1.8831769,-0.6740039576918392,-0.6740039576918392,1.0
246000,1.4326143,23.625,-1.9410778,-0.831504277582091,-0.831504277582091,1.0
249000,1.4303226,23.8411214953271,-1.501469,-0.00690224419037501,-0.00690224419037501,1.0
252000,1.4303226,23.508196721311474,-1.6183468,-0.4037717986302298,-0.4037717986302298,1.0
255000,1.4297305,23.6260162601626,-1.5889355,-0.5361749413536816,-0.5361749413536816,1.0
258000,1.4285085,23.727272727272727,-1.4015346,0.06631770015748079,0.06631770015748079,1.0
261000,1.4285085,25.208695652173912,-1.3825892,-0.24282594312701308,-0.24282594312701308,1.0
264000,1.4277416,25.669642857142858,-1.3937178,-0.11559535127825442,-0.11559535127825442,1.0
267000,1.4272001,24.28813559322034,-1.2183254,0.492639604261366,0.492639604261366,1.0
270000,1.4272001,24.041666666666668,-1.2415301,0.16292806069056193,0.16292806069056193,1.0
273000,1.4236176,24.18487394957983,-0.8408073,0.5872098025904984,0.5872098025904984,1.0
276000,1.423054,25.069565217391304,-0.8503012,0.6473650512487992,0.6473650512487992,1.0
279000,1.4224937,22.642857142857142,-0.83319205,0.4933145142446353,0.4933145142446353,1.0
