Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4195893,23.932835820895523,0.016707728,-5.785516526485025,-5.785516526485025,10.635844,0.99377245,0.0029599993,0.19866663,0.004933466,1.0
20000,1.4241549,24.20959595959596,-0.9536231,-5.630810504760405,-5.630810504760405,7.530886,0.89811325,0.0029197552,0.19732518,0.0048665255,1.0
30000,1.4281685,23.183574879227052,-1.777815,-5.593014110113687,-5.593014110113687,5.8056307,0.8299616,0.0028800694,0.19600235,0.0048005157,1.0
40000,1.4337202,23.401937046004843,-2.2399266,-5.331372218742604,-5.331372218742604,4.141042,0.72371495,0.002821635,0.19405451,0.0047033196,1.0
50000,1.4401456,23.51732673267327,-2.5215478,-5.035363719597751,-5.035363719597751,3.4300673,0.6240753,0.0027627351,0.19209114,0.00460535,1.0
60000,1.4439908,22.882775119617225,-2.7753265,-5.194762453935933,-5.194762453935933,3.1610913,0.5933609,0.0027249956,0.19083315,0.004542575,1.0
70000,1.445083,22.670616113744074,-2.9683697,-4.780644683691345,-4.780644683691345,3.1430097,0.5408541,0.0026863243,0.18954417,0.0044782544,1.0
80000,1.4460334,22.51058823529412,-2.9737282,-4.619808445257299,-4.619808445257299,2.8290725,0.39256144,0.0026290752,0.18763584,0.004383028,1.0
90000,1.448404,21.53153153153153,-3.0205112,-4.477286083204252,-4.477286083204252,2.406405,0.3887119,0.0025734506,0.18578164,0.0042905053,1.0
100000,1.450402,22.361305361305362,-3.002806,-4.530801148611904,-4.530801148611904,2.604237,0.38549647,0.002537325,0.1845775,0.0042304173,1.0
110000,1.4536957,22.535377358490567,-3.0876935,-4.283949078324269,-4.283949078324269,2.35677,0.3533584,0.0024807751,0.18269251,0.004136356,1.0
120000,1.4535624,22.380841121495326,-3.2098663,-3.97530652652277,-3.97530652652277,2.2586548,0.24846916,0.002424575,0.18081914,0.004042877,1.0
