Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4214867,8.44622641509434,-0.14004327,-1.1512340224498392,-1.1512340224498392,0.96164626,1.3080273,0.0029982151,0.19994049,0.00499703,1.0
20000,1.4282814,9.027081243731194,-0.3906829,-1.0391195670023814,-1.0391195670023814,0.6410913,0.7206853,0.0029953911,0.1998464,0.0049923337,1.0
30000,1.4310786,10.527649769585253,-0.3478152,-0.6399162519718891,-0.6399162519718891,0.6914761,0.50144774,0.0029922936,0.1997431,0.0049871816,1.0
40000,1.4288082,11.70356234096692,-0.2612957,-0.26197610528526644,-0.26197610528526644,0.787718,0.33642107,0.0029893718,0.19964576,0.0049823225,1.0
50000,1.4198085,12.754820936639119,-0.11695996,0.07786309739582477,0.07786309739582477,0.80493295,0.2661464,0.0029868349,0.19956115,0.0049781026,1.0
60000,1.4124281,13.104456824512535,0.05381329,0.5814467874211324,0.5814467874211324,1.0369104,0.38347784,0.0029834022,0.19944675,0.004972392,1.0
70000,1.4085417,14.132307692307693,0.20651744,1.0320522286223643,1.0320522286223643,1.0851915,0.5199222,0.0029799305,0.19933102,0.0049666185,1.0
80000,1.4051294,15.606312292358805,0.4388232,1.5484770594839241,1.5484770594839241,1.3815752,0.40727532,0.0029775882,0.199253,0.004962723,1.0
90000,1.3982562,15.12741935483871,0.65492964,1.70933547227279,1.70933547227279,1.3536538,0.37211698,0.002975203,0.19917342,0.004958755,1.0
100000,1.3915102,16.659010600706715,0.8968614,2.0261645695661907,2.0261645695661907,1.4419706,0.3454787,0.0029720343,0.19906777,0.0049534845,1.0
110000,1.3887321,17.06509945750452,1.0488526,2.429078133256586,2.429078133256586,1.6846178,0.2733668,0.0029686159,0.19895387,0.0049477974,1.0
120000,1.385796,17.46765249537893,1.077882,2.4782864575126515,2.4782864575126515,1.713583,0.29341412,0.0029651031,0.19883673,0.0049419543,1.0
130000,1.3823394,18.890219560878243,1.2631413,3.183383230439679,3.183383230439679,2.099225,0.32977477,0.0029622843,0.19874284,0.004937266,1.0
140000,1.3782573,19.022044088176354,1.4675395,3.298844649076462,3.298844649076462,2.0929697,0.24637616,0.0029594249,0.19864747,0.004932509,1.0
