Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4206704,17.043243243243243,-0.119696125,-1.8582696481355692,-1.8582696481355692,1.9878348,1.0066264,0.002998271,0.19994242,0.004997124,1.0
20000,1.4253125,17.555555555555557,-0.56623137,-1.6594606612015654,-1.6594606612015654,1.2189002,0.7421695,0.0029956223,0.1998541,0.004992719,1.0
30000,1.4269702,17.41589648798521,-0.7684717,-1.2669358704637776,-1.2669358704637776,0.78825855,0.39530683,0.002992096,0.19973654,0.0049868524,1.0
40000,1.4296387,18.149425287356323,-0.769837,-0.8229443076355704,-0.8229443076355704,0.72105205,0.21936487,0.0029893492,0.19964498,0.0049822824,1.0
50000,1.4275073,18.88667992047714,-0.7079336,-0.313319647300338,-0.313319647300338,0.8363582,0.25710306,0.00298654,0.19955134,0.004977612,1.0
60000,1.424522,20.732608695652175,-0.6350095,0.375259488756242,0.375259488756242,1.0340772,0.26723364,0.0029835461,0.1994515,0.004972631,1.0
70000,1.420486,21.511312217194572,-0.53394526,0.8505766269315715,0.8505766269315715,1.0447983,0.3945554,0.0029803405,0.19934468,0.0049672998,1.0
80000,1.4137304,21.75626423690205,-0.34736443,1.5157407877249707,1.5157407877249707,1.2811021,0.45794642,0.0029770536,0.19923511,0.0049618334,1.0
90000,1.4076042,23.25728155339806,-0.23627289,2.1618750910782065,2.1618750910782065,1.3155081,0.49703446,0.0029747959,0.19915994,0.004958078,1.0
100000,1.4026564,23.822541966426858,-0.24230194,2.4459144408255815,2.4459144408255815,1.9054217,0.49364346,0.0029712166,0.19904056,0.0049521225,1.0
110000,1.3982013,24.526455026455025,-0.10655751,2.8967982317827925,2.8967982317827925,1.7317075,0.55145854,0.0029676391,0.19892126,0.0049461722,1.0
120000,1.3928766,24.691516709511568,0.07530289,3.3337154423669557,3.3337154423669557,2.1310747,0.53022844,0.0029651457,0.1988382,0.004942027,1.0
130000,1.3898659,24.370558375634516,0.3619395,3.7217355266137777,3.7217355266137777,2.1276574,0.54283935,0.0029627099,0.19875704,0.004937975,1.0
140000,1.3871846,24.79381443298969,0.6305865,3.908744875226439,3.908744875226439,2.0337605,0.49575123,0.0029602675,0.1986756,0.004933913,1.0
150000,1.3822604,24.676923076923078,0.8724457,4.283606771398813,4.283606771398813,2.1846468,0.42725375,0.002956565,0.19855216,0.004927752,1.0
160000,1.3784757,25.20472440944882,1.0603404,4.5811552482014255,4.5811552482014255,2.4206035,0.38957268,0.0029527554,0.19842523,0.004921417,1.0
170000,1.3749199,24.71979434447301,1.2057829,5.04105767783898,5.04105767783898,2.2788856,0.3838299,0.0029502967,0.19834325,0.004917326,1.0
