Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
30000,1.4196743,16.770278271166372,-0.45584926,-1.6987483809035606,-1.6987483809035606,1.1976349,0.8098742,0.00029974323,0.19991441,0.004995729,1.0
60000,1.4191896,17.269183922046285,-0.74553716,-1.0550490725926156,-1.0550490725926156,0.8483885,0.3244844,0.00029930967,0.19976991,0.0049885185,1.0
90000,1.4170122,18.114012738853503,-0.41130972,0.0803081566851332,0.0803081566851332,0.8857173,0.2891409,0.00029886048,0.19962016,0.0049810465,1.0
120000,1.4149945,19.827203331020126,0.038923964,1.106593315250624,1.106593315250624,1.2211194,0.3047949,0.00029842719,0.19947574,0.004973838,1.0
150000,1.4117485,21.197777777777777,0.24927148,1.7676468356008883,1.7676468356008883,1.259363,0.33768398,0.00029801473,0.19933824,0.004966977,1.0
180000,1.4072617,21.90674753601213,0.41817513,2.4913812170304626,2.4913812170304626,1.9833664,0.4657843,0.00029752575,0.19917522,0.0049588447,1.0
210000,1.4025935,22.85096153846154,0.78554463,3.1712228465141807,3.1712228465141807,2.3285916,0.41588476,0.00029707755,0.19902587,0.00495139,1.0
240000,1.3986527,23.488979591836735,1.0929211,3.620871193530608,3.620871193530608,2.646842,0.40106618,0.00029667048,0.1988902,0.004944619,1.0
270000,1.3945197,24.422881355932205,1.4595267,4.04717365990756,4.04717365990756,2.9365067,0.30213973,0.0002961913,0.19873045,0.0049366495,1.0
300000,1.391923,25.892280071813286,1.9690539,4.675291372842318,4.675291372842318,3.325818,0.22343339,0.00029575272,0.19858424,0.004929353,1.0
330000,1.3893576,26.61085556577737,2.4703572,5.139670177677298,5.139670177677298,3.4269216,0.19263141,0.00029529544,0.19843182,0.004921748,1.0
360000,1.3870615,27.064546304957904,2.9576273,5.516642266171797,5.516642266171797,4.0751567,0.1434796,0.00029482882,0.19827627,0.0049139857,1.0
390000,1.3858052,27.403791469194314,3.2590873,5.784581287453572,5.784581287453572,3.9508965,0.15855883,0.00029442334,0.19814114,0.004907241,1.0
420000,1.3843608,28.42296368989205,3.8221526,6.470596486733636,6.470596486733636,4.3542824,0.14711246,0.0002939358,0.19797859,0.004899132,1.0
450000,1.3836677,28.128155339805826,4.4663587,6.253913822639914,6.253913822639914,4.958449,0.23507607,0.00029344717,0.19781573,0.004891004,1.0
480000,1.3827845,29.213709677419356,4.7533684,6.72036678275733,6.72036678275733,5.2428155,0.20234132,0.00029301658,0.19767219,0.0048838425,1.0
510000,1.3823309,29.205438066465256,5.136538,6.937583668309396,6.937583668309396,6.2082925,0.24299602,0.00029258415,0.19752802,0.0048766485,1.0
