Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
10000,1.4195201,23.725925925925925,-0.049594294,-5.499980458233616,-5.499980458233616,9.574083,1.0047731,0.0029604407,0.19868132,0.0049341973,1.0
20000,1.4246664,23.712871287128714,-0.88845986,-5.313008560957732,-5.313008560957732,6.958579,0.88194835,0.0029203994,0.19734667,0.004867599,1.0
30000,1.4309119,24.412213740458014,-1.4907517,-5.618984754910603,-5.618984754910603,5.7620215,0.8579537,0.0028804997,0.1960167,0.004801231,1.0
40000,1.4353241,24.641025641025642,-1.9093659,-5.477166736064969,-5.477166736064969,5.238836,0.78875816,0.0028398403,0.1946613,0.004733601,1.0
50000,1.4374757,24.28860759493671,-2.2997,-5.248311782788627,-5.248311782788627,4.4714794,0.6625438,0.0027782605,0.19260865,0.004631172,1.0
60000,1.4397991,24.315656565656564,-2.6483057,-5.09511843022674,-5.09511843022674,3.4451528,0.5649607,0.0027173753,0.19057922,0.0045299,1.0
70000,1.4416492,24.83678756476684,-2.8133163,-5.024084151099203,-5.024084151099203,3.2521832,0.5192639,0.0026760197,0.18920071,0.004461112,1.0
80000,1.4432043,24.742268041237114,-3.0145538,-4.859288608047221,-4.859288608047221,2.804802,0.47321412,0.0026351954,0.18783985,0.0043932074,1.0
90000,1.44573,24.556122448979593,-3.2103221,-4.491686517611528,-4.491686517611528,2.5106153,0.31952122,0.0025735695,0.18578568,0.0042907046,1.0
100000,1.4484392,24.279187817258883,-3.209985,-4.459269547778549,-4.459269547778549,2.2395508,0.25017977,0.0025126552,0.18375511,0.004189382,1.0
110000,1.4500132,24.556122448979593,-3.057464,-4.039454288476584,-4.039454288476584,2.2650425,0.20932826,0.002471685,0.18238945,0.004121236,1.0
120000,1.4496503,24.844559585492227,-3.010217,-3.8683134562919794,-3.8683134562919794,2.1877425,0.24685861,0.002430625,0.1810208,0.004052939,1.0
130000,1.4485911,24.155778894472363,-2.992163,-3.681045143598288,-3.681045143598288,2.2133136,0.21387406,0.002388745,0.17962487,0.0039832797,1.0
140000,1.4472531,24.578005115089514,-3.0885296,-3.5887585299094313,-3.5887585299094313,1.9315498,0.21057332,0.0023287348,0.1776245,0.0038834624,1.0
150000,1.4450206,25.28684210526316,-3.0223835,-3.6021539476599904,-3.6021539476599904,2.1147149,0.18243779,0.002266045,0.17553481,0.003779188,1.0
160000,1.442885,24.63496143958869,-2.8626518,-3.0001562579432,-3.0001562579432,2.0436363,0.16331254,0.0022238097,0.17412704,0.003708937,1.0
170000,1.4422188,24.522959183673468,-2.740391,-2.635409567429095,-2.635409567429095,1.7905926,0.15403321,0.002183925,0.17279753,0.0036425954,1.0
180000,1.4410574,24.674937965260547,-2.6909013,-2.5185647085883622,-2.5185647085883622,1.8655872,0.1525921,0.002122042,0.17073476,0.0035396637,1.0
190000,1.4395349,24.342105263157894,-2.5155182,-2.2169741216339642,-2.2169741216339642,1.9049653,0.12833485,0.0020607554,0.1686918,0.0034377223,1.0
200000,1.4360619,25.025974025974026,-2.1676505,-1.4075247281557555,-1.4075247281557555,1.777025,0.15974644,0.0020194799,0.16731599,0.0033690685,1.0
210000,1.4333973,25.61968085106383,-1.9037477,-0.9973979585982383,-0.9973979585982383,1.7173545,0.18703242,0.0019771948,0.16590649,0.0032987348,1.0
220000,1.4313353,26.08130081300813,-1.6504816,-0.6272836037606082,-0.6272836037606082,1.7784302,0.15740329,0.0019347402,0.16449131,0.003228118,1.0
230000,1.4286832,26.133152173913043,-1.4948124,-0.016546160792526993,-0.016546160792526993,1.8586386,0.17603603,0.0018902603,0.16300866,0.0031541316,1.0
240000,1.4273957,26.316939890710383,-1.1753209,0.719126419491599,0.719126419491599,1.6815028,0.27780604,0.0018257599,0.16085866,0.0030468474,1.0
250000,1.4267833,26.68888888888889,-0.92765874,1.1600462545951207,1.1600462545951207,1.9443314,0.2790007,0.00175966,0.15865532,0.0029369006,1.0
