Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Losses/Q1 Loss,Losses/Q2 Loss,Policy/Entropy Coeff,Policy/Learning Rate,Is Training
10000,1.1929328,17.367673179396093,14.021492,-5.423799462081319,-5.423799462081319,9.332328,-1.8830658,0.0973209,0.08720727,0.651413,0.003,1.0
20000,1.0915724,16.52491103202847,10.9588995,-4.997149566393248,-4.997149566393248,6.5144596,-3.3500476,0.12532136,0.12558521,0.2551961,0.003,1.0
30000,0.92867744,22.13013698630137,6.6298075,-6.01416582600386,-6.01416582600386,1.3472735,-2.6737304,0.046377596,0.046874113,0.09860838,0.003,1.0
40000,0.7637407,22.723150357995227,2.9822226,-5.863591063590277,-5.863591063590277,0.18989106,-1.5366337,0.018875262,0.018846383,0.0357562,0.003,1.0
50000,0.6432278,19.614583333333332,1.3031821,-6.367925050567063,-6.367925050567063,0.047506787,-0.80766994,0.011916557,0.011933104,0.013046824,0.003,1.0
60000,0.45082846,20.44708423326134,0.24424314,-6.2836556453941705,-6.2836556453941705,0.028890848,-0.32775408,0.010239208,0.010095628,0.0048630945,0.003,1.0
70000,0.16898774,16.302768166089965,-0.35876852,-3.098678294639784,-3.098678294639784,0.023551019,-0.049197536,0.009191931,0.009214696,0.00182504,0.003,1.0
80000,-0.3050364,18.132462686567163,-0.08901317,-3.1552914774260135,-3.1552914774260135,0.024476664,0.09664019,0.009862516,0.009478356,0.00069631974,0.003,1.0
90000,-0.4772241,19.21900826446281,0.028856024,-1.5451488115792382,-1.5451488115792382,0.025413973,0.20359445,0.010457054,0.010142287,0.0002686648,0.0030000003,1.0
100000,-0.5237793,21.221491228070175,0.35626525,1.9635048866271974,1.9635048866271974,0.024515955,0.28256476,0.010000096,0.010121488,0.000104005834,0.003,1.0
110000,-0.80025965,21.18510158013544,0.27335936,0.4795396078957452,0.4795396078957452,0.023087008,0.33008093,0.009519504,0.009498432,3.9478153e-05,0.0030000003,1.0
120000,-1.024357,16.40451388888889,0.25932214,0.003264650493703665,0.003264650493703665,0.024343237,0.2807042,0.010079142,0.009754699,1.497936e-05,0.003,1.0
130000,-1.247775,17.963671128107073,0.20780289,-0.5177904833108187,-0.5177904833108187,0.023586344,0.30257446,0.009714247,0.009615078,5.7713896e-06,0.003,1.0
140000,-1.3626013,16.351724137931033,0.42565608,-0.023411251810090294,-0.023411251810090294,0.024846962,0.24060851,0.010254725,0.009679038,2.2671206e-06,0.003,1.0
