Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
3000,1.4189386,23.84297520661157,-0.24362956,-5.694360124568145,-5.694360124568145,1.0
6000,1.4189385,22.61904761904762,-0.22947605,-5.747288450012057,-5.747288450012057,1.0
9000,1.4189385,24.610169491525422,-0.22265966,-5.6132825385716005,-5.6132825385716005,1.0
12000,1.4189384,23.516393442622952,-0.23591082,-5.614137746760102,-5.614137746760102,1.0
15000,1.4189384,23.450819672131146,-0.23441984,-5.516879369489482,-5.516879369489482,1.0
18000,1.4189384,22.73643410852713,-0.25312376,-5.401020549703389,-5.401020549703389,1.0
21000,1.4215944,23.09016393442623,-0.5523013,-5.688372137585307,-5.688372137585307,1.0
24000,1.4466958,17.484662576687118,-2.1792397,-4.54703599507092,-4.54703599507092,1.0
27000,1.4466957,17.59006211180124,-1.8510871,-5.0310529996149285,-5.0310529996149285,1.0
30000,1.4466957,18.568627450980394,-1.6591687,-4.916721528262094,-4.916721528262094,1.0
33000,1.4466958,18.61437908496732,-1.601531,-5.271947957331838,-5.271947957331838,1.0
36000,1.4466958,18.8476821192053,-1.5461029,-5.189954416924401,-5.189954416924401,1.0
39000,1.4466957,18.790849673202615,-1.5137575,-5.584550758982016,-5.584550758982016,1.0
42000,1.4482198,16.203488372093023,-1.7278098,-4.247843074919172,-4.247843074919172,1.0
45000,1.4520435,14.834224598930481,-2.070388,-3.7615943224506174,-3.7615943224506174,1.0
48000,1.4520437,14.441025641025641,-1.9729235,-3.493898559533633,-3.493898559533633,1.0
51000,1.4520435,14.3659793814433,-1.971592,-3.585124239860437,-3.585124239860437,1.0
54000,1.4520437,14.55958549222798,-1.9603686,-3.8291253265321563,-3.8291253265321563,1.0
57000,1.4520435,14.33673469387755,-1.9163527,-3.6470168351518866,-3.6470168351518866,1.0
60000,1.4520437,14.427835051546392,-1.936416,-3.883352028712248,-3.883352028712248,1.0
63000,1.453025,12.616438356164384,-2.052421,-3.544485201846519,-3.544485201846519,1.0
66000,1.4542083,12.45945945945946,-2.117431,-3.3127080429295255,-3.3127080429295255,1.0
69000,1.4542083,12.224669603524228,-2.0930579,-3.166476258097241,-3.166476258097241,1.0
72000,1.4542081,12.12719298245614,-2.0557406,-3.1548517636562647,-3.1548517636562647,1.0
75000,1.4542081,12.034632034632034,-2.00678,-3.068304454222386,-3.068304454222386,1.0
78000,1.4542083,11.4875,-1.9924273,-2.846409922465682,-2.846409922465682,1.0
81000,1.4542081,12.074235807860262,-2.0012984,-3.046342702151386,-3.046342702151386,1.0
84000,1.4577308,12.504504504504505,-1.8758323,-2.5664932014974386,-2.5664932014974386,1.0
87000,1.4598093,12.36283185840708,-1.8260171,-2.5312246885564593,-2.5312246885564593,1.0
90000,1.4598094,11.635593220338983,-1.7894578,-2.345624669946196,-2.345624669946196,1.0
93000,1.4598094,12.29203539823009,-1.774594,-2.2912627293666206,-2.2912627293666206,1.0
96000,1.4598093,12.944186046511629,-1.7677011,-2.4402802136761172,-2.4402802136761172,1.0
99000,1.4598093,11.602510460251047,-1.7542617,-2.18349399121486,-2.18349399121486,1.0
102000,1.4598093,12.034934497816593,-1.7607864,-2.515837259037526,-2.515837259037526,1.0
105000,1.4692285,14.952631578947368,-2.0127628,-3.1206156281882493,-3.1206156281882493,1.0
108000,1.4717234,16.957575757575757,-2.0929325,-3.926449549412299,-3.926449549412299,1.0
111000,1.4717234,16.24712643678161,-2.1226323,-3.968033120892514,-3.968033120892514,1.0
114000,1.4717236,16.538011695906434,-2.077171,-3.5535742352057618,-3.5535742352057618,1.0
117000,1.4717236,16.341040462427745,-2.034137,-3.3685255164355903,-3.3685255164355903,1.0
120000,1.4717234,16.12,-2.0598986,-3.498294416155134,-3.498294416155134,1.0
123000,1.4718974,16.194736842105264,-2.043421,-3.6019979439462935,-3.6019979439462935,1.0
126000,1.4759189,16.683870967741935,-2.219889,-3.30567011000479,-3.30567011000479,1.0
129000,1.475919,17.133333333333333,-2.2095344,-3.480204660603494,-3.480204660603494,1.0
132000,1.475919,16.729411764705883,-2.2198665,-3.2752677833332733,-3.2752677833332733,1.0
135000,1.475919,16.160919540229884,-2.152915,-3.122947561672364,-3.122947561672364,1.0
138000,1.4759189,16.587209302325583,-2.173073,-3.251327063455138,-3.251327063455138,1.0
141000,1.475919,17.432098765432098,-2.1268458,-3.454708597174397,-3.454708597174397,1.0
144000,1.4759778,16.341040462427745,-2.1197503,-2.875125229186405,-2.875125229186405,1.0
147000,1.4764549,16.057142857142857,-2.1065977,-3.2922006760808555,-3.2922006760808555,1.0
150000,1.4764546,16.02857142857143,-2.138004,-3.2784438136626375,-3.2784438136626375,1.0
153000,1.4764549,16.062857142857144,-2.108354,-3.328162098134106,-3.328162098134106,1.0
156000,1.4764546,16.183908045977013,-2.1495538,-3.5576153693870567,-3.5576153693870567,1.0
159000,1.4764547,16.079545454545453,-2.1258729,-3.361270856789567,-3.361270856789567,1.0
162000,1.4764547,15.775280898876405,-2.101905,-3.1429366412775477,-3.1429366412775477,1.0
