Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
20000,1.4219859,23.45354523227384,-0.8007249,-5.610959817102518,-5.610959817102518,8.008577,0.92421734,0.002940972,0.19803241,0.0049018175,1.0
40000,1.4309016,24.612820512820512,-1.9902318,-5.711280427997152,-5.711280427997152,5.145212,0.77719116,0.0028617452,0.19539154,0.0047700363,1.0
60000,1.4369802,23.894278606965173,-2.6356292,-5.2383924138116,-5.2383924138116,3.6840084,0.6119612,0.002759507,0.19198357,0.004599979,1.0
80000,1.4405792,23.296116504854368,-2.9079893,-5.028532435508719,-5.028532435508719,2.912202,0.5104428,0.0026416287,0.18805425,0.0044039083,1.0
100000,1.4419852,23.753407682775713,-3.0741818,-4.571184228995059,-4.571184228995059,2.4689574,0.3843916,0.0025438203,0.18479404,0.0042412207,1.0
120000,1.4433384,23.532515337423312,-3.1049445,-4.190597082244838,-4.190597082244838,2.1468816,0.27964476,0.0024447353,0.18149118,0.00407641,1.0
140000,1.4449804,22.492361927144536,-2.950601,-3.594068860084238,-3.594068860084238,1.9602897,0.19825478,0.0023475871,0.17825294,0.003914821,1.0
160000,1.4424026,22.670616113744074,-2.8032107,-3.1704784849949923,-3.1704784849949923,1.8357258,0.191509,0.002254405,0.17514686,0.0037598268,1.0
180000,1.4376185,24.220403022670027,-2.6481137,-2.8208441513236284,-2.8208441513236284,1.9400337,0.14380154,0.0021568905,0.17189637,0.0035976267,1.0
200000,1.433806,24.113065326633166,-2.4742672,-2.087095059828842,-2.087095059828842,1.8351272,0.17998542,0.0020555817,0.16851938,0.0034291178,1.0
220000,1.4276705,24.682926829268293,-2.2231016,-1.726630535411896,-1.726630535411896,1.6669643,0.23383924,0.0019545876,0.16515294,0.0032611305,1.0
240000,1.4237394,24.596670934699105,-1.9175353,-1.1624572556394315,-1.1624572556394315,1.782754,0.20309852,0.0018511451,0.16170481,0.003089071,1.0
260000,1.4200248,24.765463917525775,-1.5922861,-0.5642631779780093,-0.5642631779780093,1.6719766,0.19370899,0.0017480925,0.15826973,0.0029176609,1.0
280000,1.4154887,25.661016949152543,-1.2204248,0.2845116721391678,0.2845116721391678,1.7128242,0.246792,0.0016432035,0.15477343,0.002743195,1.0
300000,1.4090799,25.340970350404312,-0.8011208,1.2090659817295426,1.2090659817295426,1.7965804,0.32972646,0.0015374501,0.1512483,0.0025672917,1.0
320000,1.4025903,26.21195652173913,-0.3832409,2.0417548550252356,2.0417548550252356,2.0442643,0.3098616,0.0014520301,0.14840099,0.0024252096,1.0
340000,1.3959492,26.621023513139697,-0.13419004,2.6809810015010966,2.6809810015010966,2.1954741,0.31360137,0.0013646828,0.14548942,0.002279922,1.0
360000,1.3913879,26.776699029126213,0.15288922,2.9335737324703417,2.9335737324703417,2.2056434,0.29625165,0.0012538019,0.14179339,0.00209549,1.0
380000,1.3856875,26.928770949720672,0.37965456,3.2365275572298624,3.2365275572298624,2.110588,0.2818857,0.001142415,0.1380805,0.0019102169,1.0
400000,1.3815973,28.333333333333332,0.81917584,4.29035053851846,4.29035053851846,2.485341,0.2752527,0.0010494075,0.13498023,0.0017555142,1.0
420000,1.3779509,27.44665718349929,0.76865244,3.8668365857509595,3.8668365857509595,2.3343086,0.27086538,0.00095706515,0.13190219,0.001601918,1.0
440000,1.3744613,28.149927219796215,1.0342461,4.926785578402764,4.926785578402764,2.701128,0.3000015,0.0008658727,0.12886241,0.0014502342,1.0
460000,1.3705541,27.761151079136692,1.1188855,4.681877597888539,4.681877597888539,2.4899719,0.2741346,0.00075031846,0.12501062,0.0012580293,1.0
480000,1.3668711,27.325779036827196,1.2593344,4.916639599178736,4.916639599178736,2.5424442,0.28805047,0.00063546014,0.121182024,0.0010669818,1.0
500000,1.3636583,28.348973607038122,1.2766534,5.166693883557474,5.166693883557474,2.726232,0.30042732,0.0005431851,0.118106164,0.0009134979,1.0
520000,1.3610015,28.607407407407408,1.5138369,5.699154761323222,5.699154761323222,2.8577533,0.31548327,0.00044786753,0.11492893,0.00075495284,1.0
540000,1.3589463,28.444771723122237,1.6845137,5.932466851418429,5.932466851418429,3.0492592,0.3128789,0.00035442767,0.11181426,0.0005995312,1.0
560000,1.3570609,28.731743666169894,1.6941569,6.009424591436982,6.009424591436982,3.366024,0.30254036,0.00025952014,0.10865067,0.00044166826,1.0
580000,1.3555696,29.137048192771083,1.7435446,6.13801570505981,6.13801570505981,3.600419,0.31164822,0.00016417257,0.10547242,0.00028307352,1.0
600000,1.3547498,28.73997028231798,1.7906302,6.338083930125386,6.338083930125386,3.7373652,0.29137176,6.787009e-05,0.10226234,0.00012289041,1.0
